199.72.81.55 - - [01/Jul/1995:00:00:01]
unicomp6.unicomp.net - - [01/Jul/1995:00:00:06]
199.120.110.21 - - [01/Jul/1995:00:00:09]
burger.letters.com - - [01/Jul/1995:00:00:11]
199.120.110.21 - - [01/Jul/1995:00:00:11]
burger.letters.com - - [01/Jul/1995:00:00:12]
burger.letters.com - - [03/Jul/1995:00:00:12]
205.212.115.106 - - [01/Jul/1995:00:00:12]
d104.aa.net - - [01/Jul/1995:00:00:13]
129.94.144.152 - - [01/Jul/1995:00:00:13]
unicomp6.unicomp.net - - [01/Jul/1995:00:00:14]
unicomp6.unicomp.net - - [02/Jul/1995:00:00:14]
unicomp6.unicomp.net - - [01/Jul/1995:00:00:14]
d104.aa.net - - [01/Jul/1995:00:00:15]
d104.aa.net - - [01/Jul/1995:00:00:15]
d104.aa.net - - [02/Jul/1995:00:00:15]
129.94.144.152 - - [01/Jul/1995:00:00:17]
199.120.110.21 - - [01/Jul/1995:00:00:17]
ppptky391.asahi-net.or.jp - - [01/Jul/1995:00:00:18]
net-1-141.eden.com - - [01/Jul/1995:00:00:19]
ppptky391.asahi-net.or.jp - - [01/Jul/1995:00:00:19]
205.189.154.54 - - [01/Jul/1995:00:00:24]
teleman.pr.mcs.net - - [01/Jul/1995:00:03:57]
teleman.pr.mcs.net - - [01/Jul/1995:00:03:57]
129.188.154.200 - - [01/Jul/1995:00:03:58]
www-a1.proxy.aol.com - - [01/Jul/1995:00:04:01]
129.188.154.200 - - [01/Jul/1995:00:04:01]
link097.txdirect.net - - [01/Jul/1995:00:04:02]
smyth-pc.moorecap.com - - [01/Jul/1995:00:04:03]
gayle-gaston.tenet.edu - - [03/Jul/1995:00:04:04]
129.188.154.200 - - [01/Jul/1995:00:04:05]
129.188.154.200 - - [02/Jul/1995:00:04:05]
129.188.154.200 - - [03/Jul/1995:00:04:05]
isdn6-34.dnai.com - - [01/Jul/1995:00:04:10]
www-a1.proxy.aol.com - - [01/Jul/1995:00:04:10]
charger.execpc.com - - [01/Jul/1995:00:04:12]
smyth-pc.moorecap.com - - [01/Jul/1995:00:04:13]
205.212.115.106 - - [01/Jul/1995:00:04:13]
charger.execpc.com - - [01/Jul/1995:00:04:14]
charger.execpc.com - - [02/Jul/1995:00:04:15]
unicomp6.unicomp.net - - [01/Jul/1995:00:04:16]
205.189.154.54 - - [01/Jul/1995:00:04:17]
dd11-054.compuserve.com - - [01/Jul/1995:00:04:17]
news.ti.com - - [01/Jul/1995:00:04:18]
ix-ftw-tx1-24.ix.netcom.com - - [01/Jul/1995:00:04:18]
unicomp6.unicomp.net - - [01/Jul/1995:00:04:19]
charger.execpc.com - - [02/Jul/1995:00:04:20]
news.ti.com - - [01/Jul/1995:00:04:21]
